sample_id,slope_angle,slope_height,rock_type,fracture_density,rainfall_24h,days_since_blast,risk_score,risk_percentage,risk_category,risk_message,timestamp
118,56.6,785.2,Shale,High,30.2,2,0.64606,64.61,Medium,Caution advised,2025-09-28T00:33:42.908848
119,53.0,338.4,Granite,Low,14.2,0,0.249869,24.99,Low,Safe operations,2025-09-28T00:33:42.908874
120,67.8,327.3,Granite,Medium,4.1,16,0.251392,25.14,Low,Safe operations,2025-09-28T00:33:42.908900
121,33.7,389.2,Limestone,High,13.4,4,0.310088,31.01,Low,Safe operations,2025-09-28T00:33:42.908942
122,70.4,447.0,Limestone,Medium,3.1,2,0.416996,41.7,Medium,Caution advised,2025-09-28T00:33:42.908969
123,66.6,295.9,Granite,High,11.9,18,0.286456,28.65,Low,Safe operations,2025-09-28T00:33:42.908997
124,61.3,445.4,Limestone,Low,4.9,12,0.252691,25.27,Low,Safe operations,2025-09-28T00:33:42.909023
125,55.9,739.2,Shale,Medium,11.4,13,0.480261,48.03,Medium,Caution advised,2025-09-28T00:33:42.909064
126,32.4,701.8,Sandstone,Medium,0.1,6,0.408401,40.84,Medium,Caution advised,2025-09-28T00:33:42.909288
127,70.9,182.5,Granite,Medium,12.0,3,0.312095,31.21,Low,Safe operations,2025-09-28T00:33:42.909351
128,62.3,261.1,Shale,Low,10.6,22,0.307104,30.71,Low,Safe operations,2025-09-28T00:33:42.909385
129,67.4,419.5,Sandstone,Medium,11.8,13,0.379301,37.93,Low,Safe operations,2025-09-28T00:33:42.909423
130,55.4,457.6,Sandstone,Medium,4.9,17,0.331741,33.17,Low,Safe operations,2025-09-28T00:33:42.909454
131,67.6,424.4,Sandstone,Medium,14.9,7,0.417647,41.76,Medium,Caution advised,2025-09-28T00:33:42.909488
132,82.2,746.3,Shale,Medium,53.4,28,0.696186,69.62,High,Enhanced monitoring needed,2025-09-28T00:33:42.909547
133,58.0,260.3,Limestone,Medium,11.9,23,0.234212,23.42,Low,Safe operations,2025-09-28T00:33:42.909583
134,71.9,468.0,Sandstone,Medium,10.7,27,0.415628,41.56,Medium,Caution advised,2025-09-28T00:33:42.909612
135,53.0,394.6,Granite,Medium,6.1,11,0.215214,21.52,Low,Safe operations,2025-09-28T00:33:42.909642
136,60.8,386.9,Shale,Medium,4.9,28,0.373204,37.32,Low,Safe operations,2025-09-28T00:33:42.909670
137,48.3,559.3,Limestone,Medium,10.0,4,0.343945,34.39,Low,Safe operations,2025-09-28T00:33:42.909697
138,61.6,308.5,Granite,Low,46.9,16,0.232347,23.23,Low,Safe operations,2025-09-28T00:33:42.909725
139,70.2,439.0,Granite,High,3.5,0,0.43957,43.96,Medium,Caution advised,2025-09-28T00:33:42.909753
140,55.8,360.7,Limestone,Low,14.8,15,0.206356,20.64,Low,Safe operations,2025-09-28T00:33:42.909781
141,31.6,430.5,Limestone,Medium,0.4,20,0.210251,21.03,Low,Safe operations,2025-09-28T00:33:42.909827
142,65.7,315.9,Sandstone,Low,14.5,0,0.478014,47.8,Medium,Caution advised,2025-09-28T00:33:42.909856
143,73.1,424.0,Sandstone,High,0.5,18,0.450592,45.06,Medium,Caution advised,2025-09-28T00:33:42.909886
144,61.0,539.4,Sandstone,Medium,2.4,13,0.382784,38.28,Low,Safe operations,2025-09-28T00:33:42.909914
145,74.8,281.7,Limestone,Low,11.5,23,0.277669,27.77,Low,Safe operations,2025-09-28T00:33:42.909941
146,66.7,402.5,Sandstone,Low,0.1,16,0.319899,31.99,Low,Safe operations,2025-09-28T00:33:42.909968
147,59.7,442.0,Sandstone,Medium,0.2,12,0.349287,34.93,Low,Safe operations,2025-09-28T00:33:42.909995
148,61.7,382.9,Shale,Medium,0.4,16,0.375597,37.56,Low,Safe operations,2025-09-28T00:33:42.910022
149,58.4,416.8,Limestone,Medium,48.0,15,0.335167,33.52,Low,Safe operations,2025-09-28T00:33:42.910049
150,33.2,383.0,Granite,Medium,2.5,25,0.157897,15.79,Low,Safe operations,2025-09-28T00:33:42.910095
151,50.8,438.7,Limestone,Medium,45.3,2,0.385763,38.58,Low,Safe operations,2025-09-28T00:33:42.910124
152,70.1,314.6,Limestone,High,13.8,26,0.350143,35.01,Low,Safe operations,2025-09-28T00:33:42.910152
153,59.3,163.3,Sandstone,Medium,11.9,28,0.283007,28.3,Low,Safe operations,2025-09-28T00:33:42.910196
154,69.4,373.7,Limestone,High,12.3,14,0.360364,36.04,Low,Safe operations,2025-09-28T00:33:42.910225
155,66.8,142.4,Sandstone,High,1.4,2,0.516265,51.63,Medium,Caution advised,2025-09-28T00:33:42.910269
156,59.1,386.8,Sandstone,Medium,28.9,26,0.348768,34.88,Low,Safe operations,2025-09-28T00:33:42.910298
157,65.4,781.9,Sandstone,Medium,1.2,0,0.673825,67.38,High,Enhanced monitoring needed,2025-09-28T00:33:42.910341
158,54.0,370.2,Sandstone,Medium,36.7,12,0.344082,34.41,Low,Safe operations,2025-09-28T00:33:42.910369
159,62.8,363.5,Limestone,Medium,48.9,24,0.341952,34.2,Low,Safe operations,2025-09-28T00:33:42.910397
160,32.8,514.2,Granite,Medium,12.3,3,0.27091,27.09,Low,Safe operations,2025-09-28T00:33:42.910441
161,56.6,291.9,Shale,Low,41.1,24,0.333519,33.35,Low,Safe operations,2025-09-28T00:33:42.910469
162,43.1,294.7,Sandstone,High,21.1,1,0.39734,39.73,Low,Safe operations,2025-09-28T00:33:42.910497
163,52.1,428.4,Sandstone,Medium,39.0,19,0.353102,35.31,Low,Safe operations,2025-09-28T00:33:42.910525
164,69.8,575.7,Granite,High,13.2,10,0.401549,40.15,Medium,Caution advised,2025-09-28T00:33:42.910552
165,47.4,362.9,Granite,Low,14.4,14,0.138742,13.87,Low,Safe operations,2025-09-28T00:33:42.910580
166,44.6,573.0,Limestone,Medium,25.1,29,0.293241,29.32,Low,Safe operations,2025-09-28T00:33:42.910607
167,44.3,427.1,Limestone,Low,26.9,24,0.202803,20.28,Low,Safe operations,2025-09-28T00:33:42.910635
168,43.7,325.6,Sandstone,Medium,0.9,14,0.259128,25.91,Low,Safe operations,2025-09-28T00:33:42.910662
169,57.0,466.8,Limestone,Medium,1.1,18,0.280142,28.01,Low,Safe operations,2025-09-28T00:33:42.910706
170,64.2,150.9,Limestone,Low,9.8,22,0.197626,19.76,Low,Safe operations,2025-09-28T00:33:42.910754
171,71.0,318.1,Limestone,Medium,54.2,1,0.477112,47.71,Medium,Caution advised,2025-09-28T00:33:42.910783
172,54.7,453.8,Sandstone,Low,4.9,17,0.282918,28.29,Low,Safe operations,2025-09-28T00:33:42.910811
173,68.1,420.7,Granite,Medium,12.7,1,0.371119,37.11,Low,Safe operations,2025-09-28T00:33:42.910839
174,70.3,478.1,Sandstone,Medium,58.9,0,0.682707,68.27,High,Enhanced monitoring needed,2025-09-28T00:33:42.910881
175,73.0,276.7,Limestone,High,11.7,27,0.356433,35.64,Low,Safe operations,2025-09-28T00:33:42.910910
176,71.3,464.9,Granite,Medium,11.1,9,0.332808,33.28,Low,Safe operations,2025-09-28T00:33:42.910938
177,30.2,107.1,Limestone,Medium,14.9,23,0.151359,15.14,Low,Safe operations,2025-09-28T00:33:42.910994
178,46.5,284.4,Sandstone,High,0.3,3,0.371126,37.11,Low,Safe operations,2025-09-28T00:33:42.911024
179,67.4,591.6,Sandstone,Low,3.9,0,0.56483,56.48,Medium,Caution advised,2025-09-28T00:33:42.911052
180,41.5,529.5,Limestone,High,8.7,6,0.344172,34.42,Low,Safe operations,2025-09-28T00:33:42.911080
181,51.8,328.6,Limestone,Medium,9.2,24,0.225218,22.52,Low,Safe operations,2025-09-28T00:33:42.911107
182,46.9,476.0,Limestone,High,58.0,4,0.448057,44.81,Medium,Caution advised,2025-09-28T00:33:42.911135
183,74.2,445.2,Granite,Low,11.3,3,0.346942,34.69,Low,Safe operations,2025-09-28T00:33:42.911163
184,30.8,196.5,Sandstone,Medium,8.9,26,0.217528,21.75,Low,Safe operations,2025-09-28T00:33:42.911217
185,64.1,472.7,Sandstone,Low,0.1,4,0.468534,46.85,Medium,Caution advised,2025-09-28T00:33:42.911246
186,49.7,557.9,Sandstone,Medium,50.4,20,0.415071,41.51,Medium,Caution advised,2025-09-28T00:33:42.911274
187,59.4,176.1,Granite,Medium,53.9,10,0.277382,27.74,Low,Safe operations,2025-09-28T00:33:42.911319
188,74.9,407.0,Sandstone,High,5.9,12,0.46264,46.26,Medium,Caution advised,2025-09-28T00:33:42.911348
189,41.0,313.5,Limestone,Medium,53.1,1,0.358268,35.83,Low,Safe operations,2025-09-28T00:33:42.911375
190,59.6,486.8,Sandstone,Medium,36.9,4,0.455563,45.56,Medium,Caution advised,2025-09-28T00:33:42.911403
191,74.4,538.8,Limestone,Medium,11.0,3,0.462502,46.25,Medium,Caution advised,2025-09-28T00:33:42.911432
192,34.0,474.9,Limestone,Medium,23.2,15,0.240253,24.03,Low,Safe operations,2025-09-28T00:33:42.911477
193,73.3,447.9,Shale,Low,49.7,17,0.477349,47.73,Medium,Caution advised,2025-09-28T00:33:42.911507
194,42.0,328.9,Limestone,Medium,6.5,8,0.225373,22.54,Low,Safe operations,2025-09-28T00:33:42.911535
195,42.8,423.8,Limestone,Medium,27.2,3,0.313657,31.37,Low,Safe operations,2025-09-28T00:33:42.911562
196,73.5,728.2,Limestone,Medium,44.3,29,0.509532,50.95,Medium,Caution advised,2025-09-28T00:33:42.911608
197,42.3,261.8,Granite,High,8.0,11,0.198308,19.83,Low,Safe operations,2025-09-28T00:33:42.911636
198,31.2,446.1,Shale,Low,3.9,25,0.270156,27.02,Low,Safe operations,2025-09-28T00:33:42.911680
199,62.9,447.9,Limestone,High,5.2,1,0.435055,43.51,Medium,Caution advised,2025-09-28T00:33:42.911708
200,54.6,754.5,Granite,High,29.2,10,0.420049,42.0,Medium,Caution advised,2025-09-28T00:33:42.911752
201,69.6,299.3,Sandstone,Low,12.9,11,0.323519,32.35,Low,Safe operations,2025-09-28T00:33:42.911780
202,42.2,532.2,Limestone,Low,41.5,3,0.328623,32.86,Low,Safe operations,2025-09-28T00:33:42.911810
203,58.2,557.2,Shale,High,6.8,21,0.460996,46.1,Medium,Caution advised,2025-09-28T00:33:42.911841
204,84.6,386.8,Sandstone,Medium,6.0,4,0.610034,61.0,Medium,Caution advised,2025-09-28T00:33:42.911886
205,47.1,350.5,Sandstone,Medium,12.0,20,0.277982,27.8,Low,Safe operations,2025-09-28T00:33:42.911914
206,58.2,445.2,Granite,Medium,13.5,0,0.343557,34.36,Low,Safe operations,2025-09-28T00:33:42.911942
207,41.2,506.4,Sandstone,Medium,56.4,2,0.47339,47.34,Medium,Caution advised,2025-09-28T00:33:42.911969
208,73.8,594.4,Sandstone,Medium,13.2,27,0.470757,47.08,Medium,Caution advised,2025-09-28T00:33:42.911997
209,64.0,782.3,Granite,Medium,12.9,22,0.39219,39.22,Low,Safe operations,2025-09-28T00:33:42.912040
210,66.6,565.5,Sandstone,Medium,12.3,20,0.420254,42.03,Medium,Caution advised,2025-09-28T00:33:42.912069
211,68.9,124.0,Sandstone,Low,6.5,21,0.277101,27.71,Low,Safe operations,2025-09-28T00:33:42.912112
212,56.5,471.9,Granite,Medium,10.3,0,0.342817,34.28,Low,Safe operations,2025-09-28T00:33:42.912140
213,74.7,734.0,Limestone,Medium,0.5,18,0.46465,46.47,Medium,Caution advised,2025-09-28T00:33:42.912184
214,71.6,532.6,Granite,High,13.1,2,0.460753,46.08,Medium,Caution advised,2025-09-28T00:33:42.912213
215,55.6,552.6,Limestone,Medium,23.5,1,0.407878,40.79,Medium,Caution advised,2025-09-28T00:33:42.912241
216,44.5,590.5,Sandstone,Medium,50.5,27,0.412539,41.25,Medium,Caution advised,2025-09-28T00:33:42.912269
217,62.2,326.5,Granite,Low,0.7,24,0.178489,17.85,Low,Safe operations,2025-09-28T00:33:42.912296
218,60.9,355.0,Sandstone,Low,51.7,13,0.356013,35.6,Low,Safe operations,2025-09-28T00:33:42.912324
219,61.9,543.4,Limestone,Medium,11.8,25,0.329961,33.0,Low,Safe operations,2025-09-28T00:33:42.912351
220,34.2,433.8,Granite,High,14.3,3,0.293271,29.33,Low,Safe operations,2025-09-28T00:33:42.912396
221,56.3,716.5,Sandstone,Medium,10.5,3,0.499503,49.95,Medium,Caution advised,2025-09-28T00:33:42.912447
222,53.5,478.3,Shale,Medium,50.9,0,0.542393,54.24,Medium,Caution advised,2025-09-28T00:33:42.912477
223,30.2,127.7,Limestone,Medium,6.7,21,0.147833,14.78,Low,Safe operations,2025-09-28T00:33:42.912538
224,40.2,703.7,Limestone,Medium,3.3,26,0.315754,31.58,Low,Safe operations,2025-09-28T00:33:42.912587
225,53.9,161.7,Shale,Medium,10.1,2,0.380111,38.01,Low,Safe operations,2025-09-28T00:33:42.912628
226,49.6,397.6,Limestone,High,42.7,11,0.339516,33.95,Low,Safe operations,2025-09-28T00:33:42.912655
227,65.2,250.7,Sandstone,High,13.1,3,0.520348,52.03,Medium,Caution advised,2025-09-28T00:33:42.912684
228,56.0,292.4,Limestone,High,1.2,11,0.284139,28.41,Low,Safe operations,2025-09-28T00:33:42.912712
229,62.6,560.8,Sandstone,Medium,1.7,2,0.554705,55.47,Medium,Caution advised,2025-09-28T00:33:42.912739
230,44.2,273.3,Limestone,Low,6.3,0,0.244467,24.45,Low,Safe operations,2025-09-28T00:33:42.912765
231,89.1,370.1,Sandstone,Medium,45.7,27,0.554376,55.44,Medium,Caution advised,2025-09-28T00:33:42.912808
232,70.2,329.2,Limestone,Medium,11.4,2,0.386802,38.68,Low,Safe operations,2025-09-28T00:33:42.912835
233,53.0,497.0,Sandstone,Medium,6.5,0,0.436036,43.6,Medium,Caution advised,2025-09-28T00:33:42.912874
234,45.4,164.6,Limestone,High,1.5,12,0.222701,22.27,Low,Safe operations,2025-09-28T00:33:42.912921
235,47.6,408.9,Sandstone,Low,0.4,15,0.246198,24.62,Low,Safe operations,2025-09-28T00:33:42.912949
236,43.5,574.0,Limestone,Medium,2.2,14,0.273568,27.36,Low,Safe operations,2025-09-28T00:33:42.912977
